,Paraguay
6/22/21,1746.0
6/23/21,2148.0
6/24/21,1842.0
6/25/21,1863.0
6/26/21,1523.0
6/27/21,1487.0
6/28/21,1434.0
6/29/21,1825.0
6/30/21,1693.0
7/1/21,1716.0
7/2/21,1320.0
7/3/21,1224.0
7/4/21,1201.0
7/5/21,1141.0
7/6/21,1483.0
7/7/21,1434.0
7/8/21,1463.0
7/9/21,1258.0
7/10/21,1102.0
7/11/21,1095.0
7/12/21,1045.0
7/13/21,1133.0
7/14/21,1159.0
7/15/21,1151.0
7/16/21,1171.0
7/17/21,1049.0
7/18/21,565.0
7/19/21,573.0
7/20/21,702.0
7/21/21,879.0
7/22/21,718.0
7/23/21,644.0
7/24/21,410.0
7/25/21,423.0
7/26/21,561.0
7/27/21,592.0
7/28/21,664.0
7/29/21,537.0
7/30/21,390.0
7/31/21,303.0
8/1/21,310.0
8/2/21,333.0
8/3/21,336.0
8/4/21,427.0
8/5/21,400.0
8/6/21,348.0
8/7/21,323.0
8/8/21,255.0
8/9/21,269.0
8/10/21,291.0
8/11/21,384.0
8/12/21,227.0
8/13/21,193.0
8/14/21,105.0
8/15/21,106.0
8/16/21,147.0
8/17/21,181.0
8/18/21,199.0
8/19/21,127.0
8/20/21,123.0
8/21/21,140.0
8/22/21,113.0
8/23/21,113.0
8/24/21,133.0
8/25/21,145.0
8/26/21,91.0
8/27/21,92.0
8/28/21,62.0
8/29/21,43.0
8/30/21,51.0
8/31/21,73.0
9/1/21,86.0
9/2/21,102.0
9/3/21,83.0
9/4/21,45.0
9/5/21,40.0
9/6/21,38.0
9/7/21,55.0
9/8/21,85.0
9/9/21,71.0
9/10/21,0.0
9/11/21,74.0
9/12/21,50.0
9/13/21,83.0
9/14/21,51.0
9/15/21,0.0
9/16/21,133.0
9/17/21,0.0
9/18/21,56.0
9/19/21,42.0
9/20/21,43.0
9/21/21,0.0
9/22/21,55.0
9/23/21,31.0
9/24/21,28.0
9/25/21,0.0
9/26/21,25.0
9/27/21,24.0
9/28/21,71.0
9/29/21,49.0
9/30/21,19.0
10/1/21,0.0
10/2/21,30.0
10/3/21,25.0
10/4/21,39.0
10/5/21,0.0
10/6/21,52.0
10/7/21,0.0
10/8/21,58.0
10/9/21,0.0
10/10/21,19.0
10/11/21,28.0
10/12/21,26.0
10/13/21,33.0
10/14/21,24.0
10/15/21,21.0
10/16/21,0.0
10/17/21,0.0
10/18/21,231.0
10/19/21,29.0
10/20/21,33.0
10/21/21,31.0
10/22/21,33.0
10/23/21,0.0
10/24/21,22.0
10/25/21,53.0
10/26/21,61.0
10/27/21,79.0
10/28/21,50.0
10/29/21,0.0
10/30/21,30.0
10/31/21,32.0
11/1/21,80.0
11/2/21,46.0
11/3/21,52.0
11/4/21,41.0
11/5/21,50.0
11/6/21,0.0
11/7/21,38.0
11/8/21,100.0
11/9/21,0.0
11/10/21,53.0
11/11/21,108.0
11/12/21,50.0
11/13/21,0.0
11/14/21,0.0
11/15/21,379.0
11/16/21,56.0
11/17/21,50.0
11/18/21,37.0
11/19/21,52.0
11/20/21,0.0
11/21/21,0.0
11/22/21,133.0
11/23/21,58.0
11/24/21,64.0
11/25/21,80.0
11/26/21,72.0
11/27/21,0.0
11/28/21,0.0
11/29/21,396.0
11/30/21,57.0
12/1/21,63.0
12/2/21,78.0
12/3/21,0.0
12/4/21,61.0
12/5/21,0.0
12/6/21,167.0
12/7/21,52.0
12/8/21,0.0
12/9/21,101.0
12/10/21,70.0
12/11/21,0.0
12/12/21,0.0
12/13/21,178.0
12/14/21,98.0
12/15/21,78.0
12/16/21,0.0
12/17/21,92.0
12/18/21,0.0
12/19/21,0.0
12/20/21,607.0
12/21/21,90.0
12/22/21,0.0
12/23/21,235.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,536.0
12/28/21,0.0
12/29/21,260.0
12/30/21,277.0
12/31/21,0.0
1/1/22,0.0
1/2/22,0.0
1/3/22,3422.0
1/4/22,937.0
1/5/22,974.0
1/6/22,1239.0
1/7/22,0.0
1/8/22,0.0
1/9/22,0.0
1/10/22,3013.0
1/11/22,0.0
1/12/22,0.0
1/13/22,0.0
1/14/22,0.0
1/15/22,0.0
1/16/22,0.0
1/17/22,25503.0
1/18/22,3191.0
1/19/22,5415.0
1/20/22,6760.0
1/21/22,0.0
1/22/22,0.0
1/23/22,0.0
1/24/22,25833.0
1/25/22,5864.0
1/26/22,5930.0
1/27/22,5724.0
1/28/22,5462.0
1/29/22,5101.0
1/30/22,0.0
1/31/22,13193.0
2/1/22,5656.0
2/2/22,5112.0
2/3/22,3740.0
2/4/22,0.0
2/5/22,6835.0
2/6/22,2942.0
2/7/22,2260.0
2/8/22,2686.0
2/9/22,3018.0
2/10/22,2904.0
2/11/22,1893.0
2/12/22,0.0
2/13/22,3767.0
2/14/22,1880.0
2/15/22,2219.0
2/16/22,2144.0
2/17/22,1726.0
2/18/22,1289.0
2/19/22,1047.0
2/20/22,0.0
2/21/22,1740.0
2/22/22,705.0
2/23/22,928.0
2/24/22,925.0
2/25/22,0.0
2/26/22,0.0
2/27/22,2243.0
2/28/22,0.0
