,Moldova
6/28/21,55.0
6/29/21,55.0
6/30/21,65.0
7/1/21,82.0
7/2/21,54.0
7/3/21,61.0
7/4/21,39.0
7/5/21,65.0
7/6/21,70.0
7/7/21,82.0
7/8/21,85.0
7/9/21,71.0
7/10/21,76.0
7/11/21,48.0
7/12/21,62.0
7/13/21,59.0
7/14/21,90.0
7/15/21,88.0
7/16/21,76.0
7/17/21,61.0
7/18/21,43.0
7/19/21,61.0
7/20/21,89.0
7/21/21,141.0
7/22/21,128.0
7/23/21,119.0
7/24/21,97.0
7/25/21,43.0
7/26/21,89.0
7/27/21,139.0
7/28/21,166.0
7/29/21,184.0
7/30/21,154.0
7/31/21,122.0
8/1/21,71.0
8/2/21,118.0
8/3/21,161.0
8/4/21,196.0
8/5/21,159.0
8/6/21,241.0
8/7/21,131.0
8/8/21,75.0
8/9/21,177.0
8/10/21,193.0
8/11/21,256.0
8/12/21,268.0
8/13/21,283.0
8/14/21,140.0
8/15/21,97.0
8/16/21,200.0
8/17/21,345.0
8/18/21,485.0
8/19/21,426.0
8/20/21,407.0
8/21/21,376.0
8/22/21,149.0
8/23/21,314.0
8/24/21,512.0
8/25/21,559.0
8/26/21,497.0
8/27/21,277.0
8/28/21,193.0
8/29/21,204.0
8/30/21,216.0
8/31/21,322.0
9/1/21,579.0
9/2/21,787.0
9/3/21,710.0
9/4/21,384.0
9/5/21,233.0
9/6/21,466.0
9/7/21,850.0
9/8/21,790.0
9/9/21,731.0
9/10/21,862.0
9/11/21,681.0
9/12/21,213.0
9/13/21,746.0
9/14/21,1143.0
9/15/21,1153.0
9/16/21,1289.0
9/17/21,1032.0
9/18/21,1041.0
9/19/21,484.0
9/20/21,950.0
9/21/21,1300.0
9/22/21,1371.0
9/23/21,1215.0
9/24/21,1194.0
9/25/21,647.0
9/26/21,648.0
9/27/21,1018.0
9/28/21,1209.0
9/29/21,1587.0
9/30/21,1553.0
10/1/21,1289.0
10/2/21,991.0
10/3/21,560.0
10/4/21,1078.0
10/5/21,1533.0
10/6/21,1588.0
10/7/21,1777.0
10/8/21,1470.0
10/9/21,1299.0
10/10/21,670.0
10/11/21,535.0
10/12/21,1542.0
10/13/21,2052.0
10/14/21,1666.0
10/15/21,1407.0
10/16/21,1565.0
10/17/21,1115.0
10/18/21,1370.0
10/19/21,1715.0
10/20/21,2068.0
10/21/21,1787.0
10/22/21,2057.0
10/23/21,1568.0
10/24/21,906.0
10/25/21,1294.0
10/26/21,1505.0
10/27/21,1826.0
10/28/21,1662.0
10/29/21,1573.0
10/30/21,1255.0
10/31/21,653.0
11/1/21,1346.0
11/2/21,1074.0
11/3/21,1487.0
11/4/21,1586.0
11/5/21,1302.0
11/6/21,954.0
11/7/21,447.0
11/8/21,1141.0
11/9/21,1483.0
11/10/21,980.0
11/11/21,1129.0
11/12/21,1243.0
11/13/21,730.0
11/14/21,152.0
11/15/21,956.0
11/16/21,977.0
11/17/21,891.0
11/18/21,802.0
11/19/21,763.0
11/20/21,620.0
11/21/21,371.0
11/22/21,655.0
11/23/21,544.0
11/24/21,860.0
11/25/21,855.0
11/26/21,712.0
11/27/21,498.0
11/28/21,107.0
11/29/21,677.0
11/30/21,664.0
12/1/21,659.0
12/2/21,732.0
12/3/21,548.0
12/4/21,449.0
12/5/21,94.0
12/6/21,495.0
12/7/21,588.0
12/8/21,609.0
12/9/21,549.0
12/10/21,516.0
12/11/21,389.0
12/12/21,257.0
12/13/21,344.0
12/14/21,456.0
12/15/21,492.0
12/16/21,459.0
12/17/21,440.0
12/18/21,304.0
12/19/21,46.0
12/20/21,229.0
12/21/21,554.0
12/22/21,390.0
12/23/21,379.0
12/24/21,368.0
12/25/21,229.0
12/26/21,177.0
12/27/21,237.0
12/28/21,302.0
12/29/21,293.0
12/30/21,422.0
12/31/21,375.0
1/1/22,279.0
1/2/22,168.0
1/3/22,242.0
1/4/22,652.0
1/5/22,706.0
1/6/22,702.0
1/7/22,668.0
1/8/22,329.0
1/9/22,389.0
1/10/22,695.0
1/11/22,1139.0
1/12/22,1420.0
1/13/22,1503.0
1/14/22,1858.0
1/15/22,1015.0
1/16/22,1039.0
1/17/22,1783.0
1/18/22,2681.0
1/19/22,3255.0
1/20/22,3907.0
1/21/22,3971.0
1/22/22,2447.0
1/23/22,2394.0
1/24/22,2834.0
1/25/22,5138.0
1/26/22,6199.0
1/27/22,5366.0
1/28/22,5615.0
1/29/22,3700.0
1/30/22,0.0
1/31/22,2449.0
2/1/22,4348.0
2/2/22,4794.0
2/3/22,5255.0
2/4/22,5212.0
2/5/22,3927.0
2/6/22,3037.0
2/7/22,1511.0
2/8/22,2742.0
2/9/22,3024.0
2/10/22,2871.0
2/11/22,2870.0
2/12/22,2553.0
2/13/22,1674.0
2/14/22,1047.0
2/15/22,1720.0
2/16/22,1616.0
2/17/22,1852.0
2/18/22,1853.0
2/19/22,1615.0
2/20/22,965.0
2/21/22,231.0
2/22/22,1561.0
2/23/22,970.0
2/24/22,1069.0
2/25/22,1129.0
2/26/22,668.0
2/27/22,500.0
2/28/22,488.0
