,Czechia
6/12/21,183.0
6/13/21,75.0
6/14/21,41.0
6/15/21,189.0
6/16/21,199.0
6/17/21,134.0
6/18/21,158.0
6/19/21,143.0
6/20/21,64.0
6/21/21,57.0
6/22/21,110.0
6/23/21,133.0
6/24/21,196.0
6/25/21,165.0
6/26/21,135.0
6/27/21,69.0
6/28/21,57.0
6/29/21,168.0
6/30/21,172.0
7/1/21,148.0
7/2/21,173.0
7/3/21,188.0
7/4/21,139.0
7/5/21,105.0
7/6/21,130.0
7/7/21,107.0
7/8/21,342.0
7/9/21,272.0
7/10/21,291.0
7/11/21,169.0
7/12/21,145.0
7/13/21,249.0
7/14/21,328.0
7/15/21,275.0
7/16/21,235.0
7/17/21,240.0
7/18/21,204.0
7/19/21,118.0
7/20/21,227.0
7/21/21,313.0
7/22/21,248.0
7/23/21,207.0
7/24/21,200.0
7/25/21,69.0
7/26/21,138.0
7/27/21,217.0
7/28/21,253.0
7/29/21,202.0
7/30/21,210.0
7/31/21,147.0
8/1/21,118.0
8/2/21,75.0
8/3/21,157.0
8/4/21,257.0
8/5/21,227.0
8/6/21,167.0
8/7/21,149.0
8/8/21,180.0
8/9/21,104.0
8/10/21,169.0
8/11/21,271.0
8/12/21,225.0
8/13/21,193.0
8/14/21,212.0
8/15/21,142.0
8/16/21,75.0
8/17/21,221.0
8/18/21,299.0
8/19/21,212.0
8/20/21,175.0
8/21/21,174.0
8/22/21,134.0
8/23/21,107.0
8/24/21,210.0
8/25/21,254.0
8/26/21,248.0
8/27/21,213.0
8/28/21,187.0
8/29/21,131.0
8/30/21,82.0
8/31/21,245.0
9/1/21,287.0
9/2/21,262.0
9/3/21,308.0
9/4/21,308.0
9/5/21,205.0
9/6/21,138.0
9/7/21,394.0
9/8/21,590.0
9/9/21,373.0
9/10/21,421.0
9/11/21,451.0
9/12/21,253.0
9/13/21,136.0
9/14/21,487.0
9/15/21,555.0
9/16/21,524.0
9/17/21,554.0
9/18/21,443.0
9/19/21,304.0
9/20/21,182.0
9/21/21,487.0
9/22/21,597.0
9/23/21,525.0
9/24/21,484.0
9/25/21,496.0
9/26/21,411.0
9/27/21,256.0
9/28/21,668.0
9/29/21,470.0
9/30/21,731.0
10/1/21,923.0
10/2/21,822.0
10/3/21,556.0
10/4/21,317.0
10/5/21,803.0
10/6/21,1106.0
10/7/21,1048.0
10/8/21,997.0
10/9/21,1013.0
10/10/21,669.0
10/11/21,335.0
10/12/21,3925.0
10/13/21,1529.0
10/14/21,-1096.0
10/15/21,1535.0
10/16/21,1785.0
10/17/21,1169.0
10/18/21,791.0
10/19/21,2530.0
10/20/21,3269.0
10/21/21,3293.0
10/22/21,3638.0
10/23/21,4244.0
10/24/21,2768.0
10/25/21,1829.0
10/26/21,4265.0
10/27/21,6307.0
10/28/21,5842.0
10/29/21,4385.0
10/30/21,5735.0
10/31/21,5081.0
11/1/21,2752.0
11/2/21,7637.0
11/3/21,9936.0
11/4/21,9480.0
11/5/21,8447.0
11/6/21,9241.0
11/7/21,5766.0
11/8/21,2997.0
11/9/21,9282.0
11/10/21,14579.0
11/11/21,13536.0
11/12/21,10414.0
11/13/21,14237.0
11/14/21,9199.0
11/15/21,5670.0
11/16/21,11554.0
11/17/21,22585.0
11/18/21,14186.0
11/19/21,13416.0
11/20/21,23033.0
11/21/21,14442.0
11/22/21,22778.0
11/23/21,961.0
11/24/21,24988.0
11/25/21,18046.0
11/26/21,27793.0
11/27/21,20417.0
11/28/21,22106.0
11/29/21,718.0
11/30/21,16944.0
12/1/21,22042.0
12/2/21,21205.0
12/3/21,18683.0
12/4/21,17743.0
12/5/21,11006.0
12/6/21,6346.0
12/7/21,15599.0
12/8/21,19546.0
12/9/21,16229.0
12/10/21,14295.0
12/11/21,12445.0
12/12/21,9108.0
12/13/21,4113.0
12/14/21,11936.0
12/15/21,16738.0
12/16/21,11652.0
12/17/21,9525.0
12/18/21,8993.0
12/19/21,6002.0
12/20/21,3741.0
12/21/21,0.0
12/22/21,0.0
12/23/21,0.0
12/24/21,0.0
12/25/21,37659.0
12/26/21,1093.0
12/27/21,2017.0
12/28/21,6887.0
12/29/21,9135.0
12/30/21,6171.0
12/31/21,5778.0
1/1/22,5007.0
1/2/22,1096.0
1/3/22,1930.0
1/4/22,9383.0
1/5/22,10229.0
1/6/22,7422.0
1/7/22,6679.0
1/8/22,6696.0
1/9/22,3975.0
1/10/22,2771.0
1/11/22,7381.0
1/12/22,23937.0
1/13/22,0.0
1/14/22,11710.0
1/15/22,13202.0
1/16/22,9292.0
1/17/22,7327.0
1/18/22,20355.0
1/19/22,28564.0
1/20/22,26082.0
1/21/22,26987.0
1/22/22,26699.0
1/23/22,18412.0
1/24/22,12935.0
1/25/22,30445.0
1/26/22,39716.0
1/27/22,54866.0
1/28/22,34853.0
1/29/22,47427.0
1/30/22,18329.0
1/31/22,24018.0
2/1/22,29630.0
2/2/22,57378.0
2/3/22,43450.0
2/4/22,37797.0
2/5/22,28779.0
2/6/22,24083.0
2/7/22,9127.0
2/8/22,29677.0
2/9/22,37777.0
2/10/22,29166.0
2/11/22,22735.0
2/12/22,22197.0
2/13/22,11000.0
2/14/22,7219.0
2/15/22,47849.0
2/16/22,0.0
2/17/22,17046.0
2/18/22,15568.0
2/19/22,13888.0
2/20/22,8256.0
2/21/22,17793.0
2/22/22,0.0
2/23/22,14353.0
2/24/22,11257.0
2/25/22,10081.0
2/26/22,9157.0
2/27/22,5611.0
2/28/22,0.0
