,Kyrgyzstan
7/4/21,1401.0
7/5/21,1437.0
7/6/21,1233.0
7/7/21,1198.0
7/8/21,1238.0
7/9/21,1319.0
7/10/21,1295.0
7/11/21,1295.0
7/12/21,1330.0
7/13/21,1292.0
7/14/21,1398.0
7/15/21,1290.0
7/16/21,1334.0
7/17/21,1364.0
7/18/21,1373.0
7/19/21,1287.0
7/20/21,1291.0
7/21/21,1102.0
7/22/21,1169.0
7/23/21,1127.0
7/24/21,1147.0
7/25/21,995.0
7/26/21,973.0
7/27/21,969.0
7/28/21,996.0
7/29/21,930.0
7/30/21,958.0
7/31/21,919.0
8/1/21,954.0
8/2/21,897.0
8/3/21,797.0
8/4/21,696.0
8/5/21,840.0
8/6/21,658.0
8/7/21,681.0
8/8/21,602.0
8/9/21,483.0
8/10/21,471.0
8/11/21,382.0
8/12/21,417.0
8/13/21,468.0
8/14/21,520.0
8/15/21,332.0
8/16/21,237.0
8/17/21,341.0
8/18/21,269.0
8/19/21,249.0
8/20/21,242.0
8/21/21,248.0
8/22/21,244.0
8/23/21,228.0
8/24/21,199.0
8/25/21,229.0
8/26/21,237.0
8/27/21,196.0
8/28/21,215.0
8/29/21,213.0
8/30/21,152.0
8/31/21,145.0
9/1/21,142.0
9/2/21,142.0
9/3/21,175.0
9/4/21,154.0
9/5/21,126.0
9/6/21,109.0
9/7/21,100.0
9/8/21,97.0
9/9/21,104.0
9/10/21,100.0
9/11/21,100.0
9/12/21,75.0
9/13/21,68.0
9/14/21,82.0
9/15/21,81.0
9/16/21,95.0
9/17/21,83.0
9/18/21,86.0
9/19/21,69.0
9/20/21,58.0
9/21/21,89.0
9/22/21,72.0
9/23/21,95.0
9/24/21,87.0
9/25/21,79.0
9/26/21,56.0
9/27/21,59.0
9/28/21,58.0
9/29/21,69.0
9/30/21,88.0
10/1/21,76.0
10/2/21,72.0
10/3/21,60.0
10/4/21,43.0
10/5/21,69.0
10/6/21,80.0
10/7/21,104.0
10/8/21,84.0
10/9/21,66.0
10/10/21,95.0
10/11/21,57.0
10/12/21,91.0
10/13/21,63.0
10/14/21,91.0
10/15/21,98.0
10/16/21,94.0
10/17/21,70.0
10/18/21,68.0
10/19/21,93.0
10/20/21,103.0
10/21/21,114.0
10/22/21,125.0
10/23/21,119.0
10/24/21,96.0
10/25/21,66.0
10/26/21,112.0
10/27/21,124.0
10/28/21,124.0
10/29/21,116.0
10/30/21,81.0
10/31/21,73.0
11/1/21,68.0
11/2/21,172.0
11/3/21,0.0
11/4/21,91.0
11/5/21,78.0
11/6/21,96.0
11/7/21,66.0
11/8/21,52.0
11/9/21,54.0
11/10/21,46.0
11/11/21,108.0
11/12/21,107.0
11/13/21,70.0
11/14/21,74.0
11/15/21,84.0
11/16/21,103.0
11/17/21,77.0
11/18/21,62.0
11/19/21,60.0
11/20/21,53.0
11/21/21,53.0
11/22/21,51.0
11/23/21,69.0
11/24/21,43.0
11/25/21,70.0
11/26/21,74.0
11/27/21,67.0
11/28/21,41.0
11/29/21,37.0
11/30/21,66.0
12/1/21,53.0
12/2/21,56.0
12/3/21,50.0
12/4/21,63.0
12/5/21,42.0
12/6/21,34.0
12/7/21,63.0
12/8/21,32.0
12/9/21,66.0
12/10/21,53.0
12/11/21,68.0
12/12/21,34.0
12/13/21,26.0
12/14/21,36.0
12/15/21,28.0
12/16/21,39.0
12/17/21,29.0
12/18/21,40.0
12/19/21,32.0
12/20/21,23.0
12/21/21,51.0
12/22/21,87.0
12/23/21,0.0
12/24/21,83.0
12/25/21,0.0
12/26/21,67.0
12/27/21,0.0
12/28/21,46.0
12/29/21,40.0
12/30/21,41.0
12/31/21,56.0
1/1/22,59.0
1/2/22,38.0
1/3/22,41.0
1/4/22,52.0
1/5/22,152.0
1/6/22,206.0
1/7/22,247.0
1/8/22,193.0
1/9/22,190.0
1/10/22,198.0
1/11/22,813.0
1/12/22,742.0
1/13/22,0.0
1/14/22,586.0
1/15/22,607.0
1/16/22,874.0
1/17/22,781.0
1/18/22,820.0
1/19/22,870.0
1/20/22,870.0
1/21/22,788.0
1/22/22,791.0
1/23/22,787.0
1/24/22,426.0
1/25/22,412.0
1/26/22,370.0
1/27/22,479.0
1/28/22,356.0
1/29/22,0.0
1/30/22,674.0
1/31/22,205.0
2/1/22,202.0
2/2/22,201.0
2/3/22,445.0
2/4/22,0.0
2/5/22,162.0
2/6/22,110.0
2/7/22,83.0
2/8/22,98.0
2/9/22,97.0
2/10/22,107.0
2/11/22,69.0
2/12/22,130.0
2/13/22,46.0
2/14/22,0.0
2/15/22,55.0
2/16/22,54.0
2/17/22,39.0
2/18/22,73.0
2/19/22,0.0
2/20/22,35.0
2/21/22,15.0
2/22/22,31.0
2/23/22,20.0
2/24/22,14.0
2/25/22,25.0
2/26/22,31.0
2/27/22,42.0
2/28/22,27.0
