,Slovakia
6/17/21,100.0
6/18/21,81.0
6/19/21,103.0
6/20/21,51.0
6/21/21,42.0
6/22/21,118.0
6/23/21,65.0
6/24/21,67.0
6/25/21,70.0
6/26/21,74.0
6/27/21,52.0
6/28/21,37.0
6/29/21,79.0
6/30/21,57.0
7/1/21,55.0
7/2/21,28.0
7/3/21,34.0
7/4/21,29.0
7/5/21,12.0
7/6/21,24.0
7/7/21,56.0
7/8/21,48.0
7/9/21,50.0
7/10/21,58.0
7/11/21,34.0
7/12/21,15.0
7/13/21,41.0
7/14/21,32.0
7/15/21,39.0
7/16/21,43.0
7/17/21,48.0
7/18/21,37.0
7/19/21,11.0
7/20/21,52.0
7/21/21,52.0
7/22/21,50.0
7/23/21,67.0
7/24/21,53.0
7/25/21,58.0
7/26/21,19.0
7/27/21,73.0
7/28/21,100.0
7/29/21,69.0
7/30/21,60.0
7/31/21,86.0
8/1/21,68.0
8/2/21,22.0
8/3/21,74.0
8/4/21,108.0
8/5/21,65.0
8/6/21,86.0
8/7/21,67.0
8/8/21,54.0
8/9/21,33.0
8/10/21,119.0
8/11/21,97.0
8/12/21,95.0
8/13/21,85.0
8/14/21,128.0
8/15/21,95.0
8/16/21,28.0
8/17/21,119.0
8/18/21,137.0
8/19/21,131.0
8/20/21,122.0
8/21/21,145.0
8/22/21,128.0
8/23/21,51.0
8/24/21,163.0
8/25/21,110.0
8/26/21,209.0
8/27/21,153.0
8/28/21,188.0
8/29/21,136.0
8/30/21,80.0
8/31/21,227.0
9/1/21,308.0
9/2/21,230.0
9/3/21,384.0
9/4/21,475.0
9/5/21,291.0
9/6/21,189.0
9/7/21,504.0
9/8/21,592.0
9/9/21,657.0
9/10/21,562.0
9/11/21,703.0
9/12/21,522.0
9/13/21,203.0
9/14/21,766.0
9/15/21,1031.0
9/16/21,462.0
9/17/21,1295.0
9/18/21,1100.0
9/19/21,916.0
9/20/21,311.0
9/21/21,1248.0
9/22/21,1502.0
9/23/21,1268.0
9/24/21,1125.0
9/25/21,1397.0
9/26/21,914.0
9/27/21,399.0
9/28/21,1609.0
9/29/21,1859.0
9/30/21,1783.0
10/1/21,1611.0
10/2/21,1726.0
10/3/21,1251.0
10/4/21,592.0
10/5/21,1886.0
10/6/21,2488.0
10/7/21,1932.0
10/8/21,2164.0
10/9/21,2281.0
10/10/21,1411.0
10/11/21,761.0
10/12/21,2212.0
10/13/21,2961.0
10/14/21,2383.0
10/15/21,2426.0
10/16/21,2518.0
10/17/21,2171.0
10/18/21,1185.0
10/19/21,2991.0
10/20/21,4297.0
10/21/21,3992.0
10/22/21,4413.0
10/23/21,4411.0
10/24/21,3913.0
10/25/21,1865.0
10/26/21,4525.0
10/27/21,6078.0
10/28/21,6271.0
10/29/21,6110.0
10/30/21,6669.0
10/31/21,5060.0
11/1/21,3118.0
11/2/21,3240.0
11/3/21,8252.0
11/4/21,8867.0
11/5/21,8726.0
11/6/21,8626.0
11/7/21,6765.0
11/8/21,4897.0
11/9/21,8282.0
11/10/21,9400.0
11/11/21,9104.0
11/12/21,9420.0
11/13/21,9891.0
11/14/21,7668.0
11/15/21,5675.0
11/16/21,10416.0
11/17/21,10967.0
11/18/21,8756.0
11/19/21,10749.0
11/20/21,12935.0
11/21/21,9584.0
11/22/21,7362.0
11/23/21,11078.0
11/24/21,13266.0
11/25/21,13141.0
11/26/21,12095.0
11/27/21,11862.0
11/28/21,9057.0
11/29/21,7642.0
11/30/21,10433.0
12/1/21,12362.0
12/2/21,9877.0
12/3/21,17538.0
12/4/21,11794.0
12/5/21,8572.0
12/6/21,4639.0
12/7/21,9380.0
12/8/21,10724.0
12/9/21,9970.0
12/10/21,7935.0
12/11/21,7379.0
12/12/21,5966.0
12/13/21,2916.0
12/14/21,6657.0
12/15/21,6550.0
12/16/21,8129.0
12/17/21,5584.0
12/18/21,4919.0
12/19/21,4062.0
12/20/21,1878.0
12/21/21,5167.0
12/22/21,2708.0
12/23/21,7418.0
12/24/21,5550.0
12/25/21,1272.0
12/26/21,660.0
12/27/21,1644.0
12/28/21,5715.0
12/29/21,6313.0
12/30/21,3883.0
12/31/21,3721.0
1/1/22,3272.0
1/2/22,496.0
1/3/22,1709.0
1/4/22,4616.0
1/5/22,4585.0
1/6/22,3786.0
1/7/22,1515.0
1/8/22,3624.0
1/9/22,2572.0
1/10/22,1300.0
1/11/22,3402.0
1/12/22,3895.0
1/13/22,3511.0
1/14/22,2203.0
1/15/22,2586.0
1/16/22,3533.0
1/17/22,1692.0
1/18/22,1746.0
1/19/22,10645.0
1/20/22,7107.0
1/21/22,8190.0
1/22/22,7554.0
1/23/22,8377.0
1/24/22,1279.0
1/25/22,14266.0
1/26/22,16402.0
1/27/22,17127.0
1/28/22,17027.0
1/29/22,17808.0
1/30/22,15200.0
1/31/22,7192.0
2/1/22,23702.0
2/2/22,24287.0
2/3/22,22665.0
2/4/22,20383.0
2/5/22,26600.0
2/6/22,18546.0
2/7/22,12887.0
2/8/22,25572.0
2/9/22,21973.0
2/10/22,28236.0
2/11/22,24382.0
2/12/22,23402.0
2/13/22,16256.0
2/14/22,11929.0
2/15/22,21527.0
2/16/22,28504.0
2/17/22,22951.0
2/18/22,21310.0
2/19/22,21448.0
2/20/22,14784.0
2/21/22,9422.0
2/22/22,15581.0
2/23/22,26614.0
2/24/22,19112.0
2/25/22,12591.0
2/26/22,18457.0
2/27/22,9852.0
2/28/22,7086.0
