,Lithuania
6/25/21,18.0
6/26/21,47.0
6/27/21,19.0
6/28/21,15.0
6/29/21,37.0
6/30/21,43.0
7/1/21,40.0
7/2/21,17.0
7/3/21,37.0
7/4/21,25.0
7/5/21,18.0
7/6/21,44.0
7/7/21,34.0
7/8/21,40.0
7/9/21,70.0
7/10/21,73.0
7/11/21,25.0
7/12/21,25.0
7/13/21,85.0
7/14/21,79.0
7/15/21,107.0
7/16/21,84.0
7/17/21,90.0
7/18/21,83.0
7/19/21,68.0
7/20/21,101.0
7/21/21,179.0
7/22/21,203.0
7/23/21,245.0
7/24/21,233.0
7/25/21,192.0
7/26/21,97.0
7/27/21,221.0
7/28/21,345.0
7/29/21,410.0
7/30/21,377.0
7/31/21,402.0
8/1/21,198.0
8/2/21,230.0
8/3/21,410.0
8/4/21,535.0
8/5/21,241.0
8/6/21,777.0
8/7/21,517.0
8/8/21,377.0
8/9/21,305.0
8/10/21,535.0
8/11/21,626.0
8/12/21,604.0
8/13/21,574.0
8/14/21,599.0
8/15/21,464.0
8/16/21,360.0
8/17/21,596.0
8/18/21,646.0
8/19/21,557.0
8/20/21,583.0
8/21/21,790.0
8/22/21,425.0
8/23/21,319.0
8/24/21,622.0
8/25/21,665.0
8/26/21,723.0
8/27/21,642.0
8/28/21,596.0
8/29/21,443.0
8/30/21,388.0
8/31/21,660.0
9/1/21,707.0
9/2/21,807.0
9/3/21,828.0
9/4/21,847.0
9/5/21,610.0
9/6/21,355.0
9/7/21,713.0
9/8/21,908.0
9/9/21,1005.0
9/10/21,953.0
9/11/21,1064.0
9/12/21,842.0
9/13/21,492.0
9/14/21,899.0
9/15/21,1296.0
9/16/21,1330.0
9/17/21,1211.0
9/18/21,1374.0
9/19/21,883.0
9/20/21,746.0
9/21/21,1157.0
9/22/21,1429.0
9/23/21,1962.0
9/24/21,1477.0
9/25/21,1609.0
9/26/21,1277.0
9/27/21,1048.0
9/28/21,1242.0
9/29/21,1973.0
9/30/21,1814.0
10/1/21,2007.0
10/2/21,2111.0
10/3/21,1615.0
10/4/21,1116.0
10/5/21,1548.0
10/6/21,2747.0
10/7/21,2268.0
10/8/21,2453.0
10/9/21,2481.0
10/10/21,1910.0
10/11/21,1350.0
10/12/21,1772.0
10/13/21,2740.0
10/14/21,2962.0
10/15/21,2867.0
10/16/21,2851.0
10/17/21,2160.0
10/18/21,1478.0
10/19/21,2466.0
10/20/21,3504.0
10/21/21,3349.0
10/22/21,3016.0
10/23/21,3186.0
10/24/21,2545.0
10/25/21,1846.0
10/26/21,2394.0
10/27/21,3622.0
10/28/21,3485.0
10/29/21,3519.0
10/30/21,3044.0
10/31/21,2620.0
11/1/21,1865.0
11/2/21,2189.0
11/3/21,2048.0
11/4/21,3261.0
11/5/21,3282.0
11/6/21,3524.0
11/7/21,2234.0
11/8/21,1423.0
11/9/21,2314.0
11/10/21,3178.0
11/11/21,2657.0
11/12/21,2683.0
11/13/21,2411.0
11/14/21,1442.0
11/15/21,955.0
11/16/21,1939.0
11/17/21,2184.0
11/18/21,2117.0
11/19/21,1847.0
11/20/21,1931.0
11/21/21,1359.0
11/22/21,867.0
11/23/21,1873.0
11/24/21,2169.0
11/25/21,1964.0
11/26/21,2131.0
11/27/21,2046.0
11/28/21,1292.0
11/29/21,594.0
11/30/21,1804.0
12/1/21,1941.0
12/2/21,1945.0
12/3/21,2170.0
12/4/21,1960.0
12/5/21,1525.0
12/6/21,471.0
12/7/21,2148.0
12/8/21,2079.0
12/9/21,1687.0
12/10/21,1729.0
12/11/21,1720.0
12/12/21,1449.0
12/13/21,831.0
12/14/21,1518.0
12/15/21,2215.0
12/16/21,1957.0
12/17/21,1619.0
12/18/21,1724.0
12/19/21,1359.0
12/20/21,624.0
12/21/21,1453.0
12/22/21,1722.0
12/23/21,1772.0
12/24/21,1581.0
12/25/21,1255.0
12/26/21,828.0
12/27/21,651.0
12/28/21,1599.0
12/29/21,2062.0
12/30/21,1763.0
12/31/21,1942.0
1/1/22,2095.0
1/2/22,1192.0
1/3/22,1244.0
1/4/22,2315.0
1/5/22,3097.0
1/6/22,3267.0
1/7/22,3598.0
1/8/22,3366.0
1/9/22,2533.0
1/10/22,1938.0
1/11/22,2778.0
1/12/22,4923.0
1/13/22,4028.0
1/14/22,4009.0
1/15/22,4059.0
1/16/22,3882.0
1/17/22,2681.0
1/18/22,4755.0
1/19/22,6466.0
1/20/22,7251.0
1/21/22,6611.0
1/22/22,5935.0
1/23/22,6938.0
1/24/22,3942.0
1/25/22,5293.0
1/26/22,10301.0
1/27/22,11433.0
1/28/22,11766.0
1/29/22,12517.0
1/30/22,9708.0
1/31/22,5995.0
2/1/22,9172.0
2/2/22,12916.0
2/3/22,12607.0
2/4/22,12961.0
2/5/22,12968.0
2/6/22,9477.0
2/7/22,6592.0
2/8/22,8605.0
2/9/22,11983.0
2/10/22,10758.0
2/11/22,9940.0
2/12/22,10369.0
2/13/22,8000.0
2/14/22,4270.0
2/15/22,6710.0
2/16/22,8562.0
2/17/22,6874.0
2/18/22,5716.0
2/19/22,8368.0
2/20/22,5688.0
2/21/22,3510.0
2/22/22,5899.0
2/23/22,7913.0
2/24/22,6492.0
2/25/22,5675.0
2/26/22,5372.0
2/27/22,3609.0
2/28/22,2035.0
