,Venezuela
6/26/21,1397.0
6/27/21,1286.0
6/28/21,0.0
6/29/21,1019.0
6/30/21,2058.0
7/1/21,1312.0
7/2/21,1181.0
7/3/21,1190.0
7/4/21,1240.0
7/5/21,1030.0
7/6/21,1148.0
7/7/21,1167.0
7/8/21,927.0
7/9/21,1033.0
7/10/21,802.0
7/11/21,0.0
7/12/21,2168.0
7/13/21,1080.0
7/14/21,1109.0
7/15/21,1263.0
7/16/21,1162.0
7/17/21,1192.0
7/18/21,1063.0
7/19/21,1087.0
7/20/21,0.0
7/21/21,1880.0
7/22/21,1117.0
7/23/21,0.0
7/24/21,1941.0
7/25/21,1018.0
7/26/21,1097.0
7/27/21,1060.0
7/28/21,1009.0
7/29/21,809.0
7/30/21,929.0
7/31/21,1040.0
8/1/21,907.0
8/2/21,897.0
8/3/21,882.0
8/4/21,766.0
8/5/21,763.0
8/6/21,979.0
8/7/21,1155.0
8/8/21,0.0
8/9/21,816.0
8/10/21,1549.0
8/11/21,0.0
8/12/21,1969.0
8/13/21,885.0
8/14/21,851.0
8/15/21,909.0
8/16/21,861.0
8/17/21,0.0
8/18/21,967.0
8/19/21,1835.0
8/20/21,0.0
8/21/21,1885.0
8/22/21,0.0
8/23/21,1880.0
8/24/21,928.0
8/25/21,1100.0
8/26/21,1186.0
8/27/21,0.0
8/28/21,2436.0
8/29/21,953.0
8/30/21,1218.0
8/31/21,0.0
9/1/21,890.0
9/2/21,2126.0
9/3/21,0.0
9/4/21,941.0
9/5/21,955.0
9/6/21,932.0
9/7/21,1961.0
9/8/21,0.0
9/9/21,2149.0
9/10/21,1263.0
9/11/21,1195.0
9/12/21,0.0
9/13/21,892.0
9/14/21,1226.0
9/15/21,858.0
9/16/21,1064.0
9/17/21,2606.0
9/18/21,0.0
9/19/21,838.0
9/20/21,2023.0
9/21/21,0.0
9/22/21,2200.0
9/23/21,0.0
9/24/21,1171.0
9/25/21,2407.0
9/26/21,0.0
9/27/21,1260.0
9/28/21,2850.0
9/29/21,1522.0
9/30/21,1296.0
10/1/21,0.0
10/2/21,1400.0
10/3/21,2964.0
10/4/21,0.0
10/5/21,2979.0
10/6/21,1522.0
10/7/21,1519.0
10/8/21,1504.0
10/9/21,1410.0
10/10/21,1110.0
10/11/21,1292.0
10/12/21,0.0
10/13/21,1284.0
10/14/21,2791.0
10/15/21,1302.0
10/16/21,0.0
10/17/21,2717.0
10/18/21,1299.0
10/19/21,1162.0
10/20/21,1254.0
10/21/21,0.0
10/22/21,893.0
10/23/21,2297.0
10/24/21,844.0
10/25/21,748.0
10/26/21,0.0
10/27/21,1148.0
10/28/21,911.0
10/29/21,1069.0
10/30/21,1852.0
10/31/21,912.0
11/1/21,715.0
11/2/21,861.0
11/3/21,968.0
11/4/21,953.0
11/5/21,926.0
11/6/21,898.0
11/7/21,663.0
11/8/21,1085.0
11/9/21,0.0
11/10/21,1970.0
11/11/21,0.0
11/12/21,1808.0
11/13/21,902.0
11/14/21,845.0
11/15/21,755.0
11/16/21,0.0
11/17/21,1729.0
11/18/21,0.0
11/19/21,1404.0
11/20/21,808.0
11/21/21,772.0
11/22/21,801.0
11/23/21,0.0
11/24/21,785.0
11/25/21,1654.0
11/26/21,907.0
11/27/21,686.0
11/28/21,650.0
11/29/21,600.0
11/30/21,0.0
12/1/21,1218.0
12/2/21,694.0
12/3/21,452.0
12/4/21,473.0
12/5/21,785.0
12/6/21,0.0
12/7/21,543.0
12/8/21,364.0
12/9/21,777.0
12/10/21,511.0
12/11/21,774.0
12/12/21,796.0
12/13/21,0.0
12/14/21,406.0
12/15/21,355.0
12/16/21,491.0
12/17/21,463.0
12/18/21,386.0
12/19/21,778.0
12/20/21,0.0
12/21/21,375.0
12/22/21,241.0
12/23/21,253.0
12/24/21,568.0
12/25/21,0.0
12/26/21,333.0
12/27/21,0.0
12/28/21,651.0
12/29/21,0.0
12/30/21,428.0
12/31/21,224.0
1/1/22,193.0
1/2/22,144.0
1/3/22,110.0
1/4/22,287.0
1/5/22,311.0
1/6/22,0.0
1/7/22,346.0
1/8/22,401.0
1/9/22,861.0
1/10/22,0.0
1/11/22,577.0
1/12/22,1865.0
1/13/22,0.0
1/14/22,2700.0
1/15/22,0.0
1/16/22,2593.0
1/17/22,1618.0
1/18/22,0.0
1/19/22,4418.0
1/20/22,2086.0
1/21/22,2318.0
1/22/22,2401.0
1/23/22,1702.0
1/24/22,0.0
1/25/22,1823.0
1/26/22,3746.0
1/27/22,1887.0
1/28/22,1989.0
1/29/22,2364.0
1/30/22,2646.0
1/31/22,1953.0
2/1/22,0.0
2/2/22,1801.0
2/3/22,3241.0
2/4/22,1662.0
2/5/22,2157.0
2/6/22,1448.0
2/7/22,0.0
2/8/22,1694.0
2/9/22,1560.0
2/10/22,2049.0
2/11/22,0.0
2/12/22,1576.0
2/13/22,1557.0
2/14/22,1228.0
2/15/22,1030.0
2/16/22,1065.0
2/17/22,926.0
2/18/22,979.0
2/19/22,606.0
2/20/22,0.0
2/21/22,520.0
2/22/22,699.0
2/23/22,788.0
2/24/22,387.0
2/25/22,480.0
2/26/22,888.0
2/27/22,0.0
2/28/22,809.0
