,Luxembourg
7/5/21,398.0
7/6/21,118.0
7/7/21,201.0
7/8/21,131.0
7/9/21,131.0
7/10/21,0.0
7/11/21,0.0
7/12/21,247.0
7/13/21,134.0
7/14/21,118.0
7/15/21,123.0
7/16/21,127.0
7/17/21,0.0
7/18/21,0.0
7/19/21,226.0
7/20/21,89.0
7/21/21,141.0
7/22/21,94.0
7/23/21,103.0
7/24/21,0.0
7/25/21,0.0
7/26/21,139.0
7/27/21,86.0
7/28/21,107.0
7/29/21,72.0
7/30/21,54.0
7/31/21,0.0
8/1/21,0.0
8/2/21,120.0
8/3/21,52.0
8/4/21,102.0
8/5/21,68.0
8/6/21,50.0
8/7/21,0.0
8/8/21,0.0
8/9/21,133.0
8/10/21,42.0
8/11/21,61.0
8/12/21,47.0
8/13/21,50.0
8/14/21,0.0
8/15/21,0.0
8/16/21,95.0
8/17/21,89.0
8/18/21,76.0
8/19/21,63.0
8/20/21,67.0
8/21/21,0.0
8/22/21,0.0
8/23/21,145.0
8/24/21,86.0
8/25/21,96.0
8/26/21,130.0
8/27/21,75.0
8/28/21,0.0
8/29/21,0.0
8/30/21,155.0
8/31/21,88.0
9/1/21,144.0
9/2/21,77.0
9/3/21,121.0
9/4/21,0.0
9/5/21,0.0
9/6/21,143.0
9/7/21,113.0
9/8/21,97.0
9/9/21,85.0
9/10/21,92.0
9/11/21,0.0
9/12/21,0.0
9/13/21,166.0
9/14/21,96.0
9/15/21,102.0
9/16/21,102.0
9/17/21,91.0
9/18/21,0.0
9/19/21,0.0
9/20/21,151.0
9/21/21,101.0
9/22/21,111.0
9/23/21,136.0
9/24/21,74.0
9/25/21,0.0
9/26/21,0.0
9/27/21,168.0
9/28/21,68.0
9/29/21,132.0
9/30/21,89.0
10/1/21,107.0
10/2/21,0.0
10/3/21,0.0
10/4/21,195.0
10/5/21,99.0
10/6/21,161.0
10/7/21,160.0
10/8/21,77.0
10/9/21,0.0
10/10/21,0.0
10/11/21,178.0
10/12/21,104.0
10/13/21,163.0
10/14/21,165.0
10/15/21,92.0
10/16/21,0.0
10/17/21,0.0
10/18/21,262.0
10/19/21,103.0
10/20/21,246.0
10/21/21,131.0
10/22/21,141.0
10/23/21,0.0
10/24/21,0.0
10/25/21,0.0
10/26/21,521.0
10/27/21,239.0
10/28/21,138.0
10/29/21,182.0
10/30/21,0.0
10/31/21,0.0
11/1/21,0.0
11/2/21,409.0
11/3/21,98.0
11/4/21,433.0
11/5/21,219.0
11/6/21,0.0
11/7/21,0.0
11/8/21,452.0
11/9/21,185.0
11/10/21,347.0
11/11/21,243.0
11/12/21,179.0
11/13/21,0.0
11/14/21,0.0
11/15/21,490.0
11/16/21,128.0
11/17/21,495.0
11/18/21,299.0
11/19/21,300.0
11/20/21,0.0
11/21/21,0.0
11/22/21,677.0
11/23/21,159.0
11/24/21,556.0
11/25/21,421.0
11/26/21,335.0
11/27/21,0.0
11/28/21,0.0
11/29/21,902.0
11/30/21,171.0
12/1/21,585.0
12/2/21,570.0
12/3/21,438.0
12/4/21,0.0
12/5/21,0.0
12/6/21,935.0
12/7/21,199.0
12/8/21,666.0
12/9/21,486.0
12/10/21,369.0
12/11/21,0.0
12/12/21,0.0
12/13/21,871.0
12/14/21,211.0
12/15/21,711.0
12/16/21,537.0
12/17/21,349.0
12/18/21,0.0
12/19/21,0.0
12/20/21,921.0
12/21/21,229.0
12/22/21,600.0
12/23/21,582.0
12/24/21,543.0
12/25/21,0.0
12/26/21,0.0
12/27/21,734.0
12/28/21,486.0
12/29/21,1053.0
12/30/21,1230.0
12/31/21,1280.0
1/1/22,0.0
1/2/22,0.0
1/3/22,1592.0
1/4/22,877.0
1/5/22,2131.0
1/6/22,1932.0
1/7/22,1905.0
1/8/22,0.0
1/9/22,0.0
1/10/22,3836.0
1/11/22,962.0
1/12/22,1924.0
1/13/22,2312.0
1/14/22,2103.0
1/15/22,0.0
1/16/22,0.0
1/17/22,4425.0
1/18/22,1327.0
1/19/22,2552.0
1/20/22,3070.0
1/21/22,2856.0
1/22/22,0.0
1/23/22,0.0
1/24/22,5497.0
1/25/22,1714.0
1/26/22,3073.0
1/27/22,3029.0
1/28/22,2552.0
1/29/22,0.0
1/30/22,0.0
1/31/22,4550.0
2/1/22,1453.0
2/2/22,2548.0
2/3/22,1994.0
2/4/22,1978.0
2/5/22,0.0
2/6/22,0.0
2/7/22,3030.0
2/8/22,1112.0
2/9/22,1352.0
2/10/22,1050.0
2/11/22,917.0
2/12/22,0.0
2/13/22,0.0
2/14/22,1437.0
2/15/22,552.0
2/16/22,769.0
2/17/22,559.0
2/18/22,636.0
2/19/22,0.0
2/20/22,0.0
2/21/22,1135.0
2/22/22,798.0
2/23/22,1071.0
2/24/22,819.0
2/25/22,708.0
2/26/22,0.0
2/27/22,0.0
2/28/22,1274.0
